LOC_ID	METER NO.    CTR     PTR	     PLACE OF INSTALLATION
RG-13   NP-8733-A    300     1200.0000    132 KV RANGIT (NHPC) - RAMMAM (WBSETCL) (CHECK)
RG-14   NP-8732-A    200     600.0000     66  KV RANGIT (NHPC) - RAVANGLA (SIKKIM) (CHECK)
RG-15   NP-8736-A    300     1200.0000    132 KV RANGIT (NHPC) - SAGBARI (SIKKIM) (CHECK)
RG-16   NP-8735-A    300     1200.0000    132 KV RANGIT (NHPC) - RANGPO (PG) (CHECK)
TS-01   NP-5899-A    350     3636.3636    400 KV SIDE OF TEESTA(NHPC) GT-1
TS-02   NP-5900-A    350     3636.3636    400 KV SIDE OF TEESTA(NHPC) GT-2
TS-03   NP-5901-A    350     3636.3636    400 KV SIDE OF TEESTA(NHPC) GT-3
TS-05   NP-8716-A    1000    3636.3636    400 KV TEESTA(NHPC)-RANGPO(PG)-1 (MAIN)
TS-06   NP-5898-A    1000    3636.3636    400 KV TEESTA(NHPC)-RANGPO(PG)-2 (MAIN)
TS-07   NP-5895-A    1000    3636.3636    400 KV TEESTA(NHPC)-RANGPO(PG)-1 (CHECK)
TS-08   NP-5897-A    1000    3636.3636    400 KV TEESTA(NHPC)-RANGPO(PG)-2 (CHECK)
MR-01   ER-1122-A    1000    3636.3636    400 KV MAITHON RB(MPL)-MAITHON(PG)-1 (MAIN)
MR-02   ER-1123-A    1000    3636.3636    400 KV MAITHON RB(MPL)-MAITHON(PG)-2 (MAIN)
MR-03   ER-2050-A    1000    3636.3636    400 KV MAITHON RB(MPL)-MAITHON(PG)-1 (CHECK)
MR-04   ER-2085-A    1000    3636.3636    400 KV MAITHON RB(MPL)-MAITHON(PG)-2 (CHECK)
MR-05   ER-1077-A    1000    3636.3636    400 KV SIDE OF MAITHON RB(MPL) GT-1
MR-06   ER-2088-A    1000    3636.3636    400 KV SIDE OF MAITHON RB(MPL) GT-2
